"method","dataset","panel","mode","t_max","trans","ci.low","ci.up","cor.bootrap.mean","cor","beta","r.sqr"
"DID","drop","A","ipv",10,"log",0.906411711760184,0.928438176132879,0.917778512051743,0.917639469660815,0.938224473756444,0.910016891005083
"DID","drop","B","ipv",10,"log",0.904634853848282,0.92666606613298,0.915947505805295,0.916205806927762,0.947111593155559,0.923411452813078
"DID","new","A","ipv",10,"log",0.915648045046118,0.930213875400021,0.923191440387606,0.922873150597187,0.940066394469693,0.908966812012238
"DID","new","B","ipv",10,"log",0.913350630859479,0.929377727146817,0.921994195775195,0.922149907272865,0.947702224189792,0.918902729723292
"IV","drop","A","ipv",10,"log",0.88177800627395,0.908507782211404,0.896392302819102,0.896579334075099,0.867162372606775,0.851049464325314
"IV","drop","B","ipv",10,"log",0.877570770424571,0.908489533878007,0.893231635985858,0.892868203584493,0.889982156841414,0.871983420986628
"IV","new","A","ipv",10,"log",0.883659073923981,0.908092752203214,0.897172955141359,0.897789783915775,0.908316950378677,0.871312169740974
"IV","new","B","ipv",10,"log",0.882513148380129,0.906912254160239,0.894430011831355,0.894405040491437,0.925933963442506,0.88754557673291
"RCT","drop","A","ipv",10,"log",0.893479015397603,0.939052193358705,0.921677975002027,0.921592856944088,0.865318499092704,0.858505859919602
"RCT","drop","B","ipv",10,"log",0.893912411526066,0.937384787250475,0.919762035114382,0.919488124495812,0.873172199723904,0.86647057781553
"RCT","new","A","ipv",10,"log",0.904707265251287,0.936841049011982,0.924121090980906,0.923713151089452,0.873963968492808,0.858822254750331
"RCT","new","B","ipv",10,"log",0.900146952687372,0.93518597997724,0.921628643181063,0.922076411085086,0.879794915288488,0.865340891542002
"RDD","drop","A","ipv",10,"log",0.893204294271364,0.920295583527473,0.907581765042761,0.907613642562474,0.869013373044513,0.83973942019432
"RDD","drop","B","ipv",10,"log",0.891408755670521,0.91932015360335,0.905158090361461,0.90544007552329,0.876597189123454,0.848606165012254
"RDD","new","A","ipv",10,"log",0.90680107380448,0.927105347079117,0.918116782790347,0.918842322685141,0.885968408191506,0.863135412994787
"RDD","new","B","ipv",10,"log",0.909643267001127,0.927567539889555,0.919383994719305,0.919156505811091,0.892801330360455,0.871669991256964
