"","true.theta","mode","bias.theta","ci.low","ci.up","coverage","obs","mae","rmse","sd.theta"
"1",0.35,"zda.true",-0.002,0.325,0.37,0.967,1710.375,0.008,0.011,0.01
"2",0.35,"omit.unif",0.003,0.325,0.381,0.95,1137.464,0.011,0.014,0.014
"3",0.35,"omit",0.001,0.324,0.379,0.949,1137.658,0.011,0.014,0.014
"4",0.35,"zda.05",0.007,0.334,0.379,0.91,1712.569,0.011,0.013,0.012
"5",0.35,"zda.20",0.015,0.342,0.388,0.767,1712.552,0.016,0.019,0.011
"6",0.35,"uniform",0.017,0.345,0.39,0.705,1708.821,0.018,0.02,0.01
"7",0.35,"star.wars",0.017,0.345,0.39,0.683,1708.895,0.018,0.021,0.012
"8",0.35,"reported",0.052,0.379,0.425,0.006,1727.352,0.052,0.053,0.012
"9",0.35,"noisy.z",0.12,0.446,0.494,0,1711.742,0.12,0.12,0.002
"10",0.5,"noisy.z",0,0.476,0.524,1,1711.95,0.002,0.002,0.002
"11",0.5,"uniform",0,0.476,0.524,0.971,1711.773,0.009,0.011,0.011
"12",0.5,"zda.true",0,0.476,0.524,0.971,1711.78,0.009,0.011,0.011
"13",0.5,"zda.20",0,0.477,0.524,0.969,1714.353,0.009,0.011,0.011
"14",0.5,"omit.unif",0,0.471,0.529,0.954,1137.47,0.012,0.015,0.015
"15",0.5,"omit",0,0.471,0.529,0.95,1137.725,0.012,0.015,0.015
"16",0.5,"star.wars",0,0.476,0.524,0.95,1711.782,0.01,0.012,0.012
"17",0.5,"zda.05",0,0.477,0.524,0.946,1714.284,0.01,0.012,0.012
"18",0.5,"reported",0.039,0.515,0.562,0.102,1731.46,0.039,0.041,0.012
"19",0.65,"zda.true",0.002,0.63,0.675,0.966,1712.38,0.008,0.011,0.01
"20",0.65,"omit",-0.001,0.621,0.676,0.951,1137.915,0.011,0.014,0.014
"21",0.65,"omit.unif",-0.003,0.619,0.675,0.951,1137.616,0.011,0.014,0.014
"22",0.65,"zda.05",-0.006,0.621,0.666,0.916,1715.036,0.011,0.013,0.012
"23",0.65,"zda.20",-0.015,0.612,0.658,0.777,1713.583,0.016,0.018,0.011
"24",0.65,"uniform",-0.018,0.609,0.655,0.69,1714.734,0.018,0.021,0.01
"25",0.65,"star.wars",-0.018,0.609,0.655,0.668,1714.782,0.018,0.021,0.012
"26",0.65,"reported",0.025,0.653,0.697,0.388,1735.659,0.025,0.028,0.011
"27",0.65,"noisy.z",-0.12,0.506,0.554,0,1711.933,0.12,0.12,0.002
